_id,cpu_type,cpu_name,cpu_socket,compatible_chipsets,int_graphics,semiconductor_size,cpu_tdp,pcie,transistors,cpu_threads,total_clock_speed,turbo,unlocked_multiplier,l2_cache,l3_cache,l1_cache,clock_multiplier,passmark,passmark_s,cinebench_r20_multi,cinebench_r20_single,geekbench6_multi,geekbench6_single,gpu_name,gpu_turbo,opengl_version,opencl_version,ram_speed_max,max_mem_bandwidth,ddr_version,mem_channels,max_mem_size,mem_eec,directx_version
67d4fd4693079e4598e73a5e,laptop,Intel Core i3-7100U,,,TRUE,14,15,3,,4,2 x 2.4,,FALSE,0.5,3,128,24,2723,1387,448,209,1582,773,HD Graphics 620,1000,4.5,3,2133,34.1,4,2,32,FALSE,12
67d4fd4693079e4598e738a7,desktop,Intel Celeron G4950,,,TRUE,14,54,3,,2,2 x 3.3,,,0.5,2,128,33,2714,2041,,,,,UHD Graphics 610,1050,4.5,,2400,37.5,4,2,64,TRUE,12
67d4fd4693079e4598e73aab,laptop,Intel Core i5-3340M,,,TRUE,22,35,3,1200,4,2 x 2.7,3.4,FALSE,0.5,3,128,27,2697,1654,,,1054,526,HD Graphics 4000,1250,4,1.1,1600,25.6,3,2,32,FALSE,11
67d4fd4693079e4598e73b9e,desktop,AMD FX-4130,,,FALSE,32,125,2,1200,4,4 x 3.8,3.9,TRUE,4,4,192,,2696,1339,,,1065,413,,,,,1866,21,3,2,,FALSE,
67d4fd4693079e4598e73aa9,laptop,Intel Core i5-3610ME,,,TRUE,22,35,3,1200,4,2 x 2.7,3.3,,0.5,3,128,27,2666,1579,,,,,HD Graphics 4000,950,4,1.1,1600,25.6,3,2,16,FALSE,11
67d4fd4693079e4598e73a84,desktop,AMD A12-9720P,,,TRUE,28,15,3,3100,4,4 x 2.7,3.6,,2,,320,,2656,1314,,,1200,532,Radeon R7,,,,1866,29.9,4,2,32,,12
67d4fd4693079e4598e739ff,desktop,Intel Core i5-7Y54,,,TRUE,14,4.5,3,,4,2 x 1.2,3.2,,0.5,4,128,12,2649,1517,,,,,HD Graphics 615,950,4.5,3,1866,29.8,3,2,16,FALSE,12
67d4fd4693079e4598e73a9c,laptop,Intel Core i7-3687U,,,TRUE,22,17,3,1200,4,2 x 2.1,3.3,,0.5,4,128,21,2645,1598,,,1066,536,HD Graphics 4000,1200,4,1.1,1600,25.6,3,2,32,FALSE,11
67d4fd4693079e4598e73a29,desktop,Intel Celeron G5900,,,TRUE,14,58,3,,2,2 x 3.4,,,0.5,2,128,,2643,2107,,,1045,663,UHD Graphics 610,1050,4.5,3,2666,41.6,4,2,128,FALSE,12
67d4fd4693079e4598e73a85,laptop,Intel Core i5-4288U,,,TRUE,22,28,3,1400,4,2 x 2.6,3.1,,0.5,3,128,,2642,1636,,,1739,903,Iris Graphics 5100,1200,4,1.2,1600,25.6,3,2,16,FALSE,11.1
67d4fd4693079e4598e739fd,laptop,Intel Core i3-6100U,,,TRUE,14,15,3,1350,4,2 x 2.3,,,0.5,3,128,23,2636,1334,,,1530,749,HD Graphics 520,1000,4.4,,2133,34.1,4,2,32,,12
67d4fd4693079e4598e73b10,laptop,Intel Core i5-4258U,,,TRUE,22,28,3,1400,4,2 x 2.4,2.9,,0.5,3,128,,2633,1578,,,1680,859,Iris Graphics 5100,1100,4,1.2,1600,25.6,3,2,16,FALSE,11.1
67d4fd4693079e4598e73b8c,desktop,AMD FX-4100,,,FALSE,32,95,2,1200,4,4 x 3.6,3.8,TRUE,4,8,192,,2619,1289,,,1003,396,,,,,1866,21,3,2,,FALSE,
67d4fd4693079e4598e73a1b,desktop,Intel Core i7-7Y75,,,TRUE,14,4.5,3,,4,2 x 1.3,3.6,,0.5,4,128,13,2615,1572,,,,,HD Graphics 615,1050,4.4,2,1866,29.8,3,2,16,FALSE,12
67d4fd4693079e4598e73a7e,desktop,Intel Pentium Silver N5000,,,TRUE,14,6,2,,4,4 x 1.1,2.7,,4,,224,,2615,1135,,,858,347,UHD Graphics 605,750,4.4,2,2400,35.76,4,2,8,FALSE,12
67d4fd4693079e4598e73acc,desktop,AMD A8-5500,,,TRUE,32,65,2,1303,4,4 x 3.2,3.7,,4,,192,,2609,1334,,,903,387,Radeon HD 7560D,760,4.2,1.2,1866,21,3,2,,,11
67d4fd4693079e4598e73b95,desktop,Intel Celeron G1610,lga_1155,,TRUE,32,55,2,995,2,2 x 2.6,,FALSE,0.5,2,128,26,2604,1395,,,,,,1050,3,1.1,1333,25.6,3,2,32,TRUE,10.1
67d4fd4693079e4598e73a50,laptop,Intel Core i3-5157U,,,TRUE,14,28,2,,4,2 x 2.5,,,0.5,3,128,25,2593,1392,,,1496,739,Iris Graphics 6100,1000,4.3,3,1866,25.6,3,2,16,,12
67d4fd4693079e4598e73ad5,desktop,Intel Core i5-7Y57,,,TRUE,14,4.5,3,,4,2 x 1.2,3.3,,0.5,4,64,12,2592,1619,,,,,HD Graphics 615,950,4.5,3,1866,29.8,3,2,16,FALSE,
67d4fd4693079e4598e73b02,laptop,Intel Core i7-4510U,,,TRUE,22,15,2,,4,2 x 2,3.1,FALSE,0.5,4,128,20,2591,1538,,,1688,897,HD Graphics 4400,1100,4.3,1.2,1600,25.6,3,2,16,FALSE,
67d4fd4693079e4598e738f0,desktop,Intel Celeron G4930,,,TRUE,14,54,3,,2,2 x 3.2,,,0.5,2,128,32,2591,1987,,,1068,643,UHD Graphics 610,1050,4.5,,2400,35.7,4,2,64,TRUE,12
67d4fd4693079e4598e73a43,desktop,Intel Pentium Silver N5030,,,TRUE,14,6,2,,4,4 x 1.1,3.1,,4,4,224,,2590,1240,,,792,360,UHD Graphics 605,750,4.4,,2400,38.4,4,2,8,FALSE,12
67d4fd4693079e4598e73a00,desktop,Intel Core m3-7Y30,,,TRUE,14,4.5,3,,4,2 x 1,2.6,,0.5,4,128,10,2585,1405,,,,,HD Graphics 615,900,4.5,,1866,29.8,3,2,16,FALSE,12
67d4fd4693079e4598e73a03,laptop,Intel Core i3-7020U,,,TRUE,14,15,3,,4,2 x 2.3,,,0.5,3,128,23,2581,1322,,,1492,738,HD Graphics 620,1000,4.5,2,2133,34.1,4,2,32,FALSE,12
67d4fd4693079e4598e739bc,desktop,AMD Pro A12-8800B,,,TRUE,28,15,3,3100,4,4 x 2.1,3.4,,2,,320,21,2580,1315,,,1141,526,Radeon R7,758,,,2133,34.1,3,2,,,12
67d4fd4693079e4598e73a07,desktop,Intel Celeron G5920,,,TRUE,14,58,3,,2,2 x 3.5,,,0.5,2,128,,2577,2123,,,,,UHD Graphics 610,1050,4.5,3,2666,41.6,4,2,128,FALSE,12
67d4fd4693079e4598e73abf,laptop,Intel Core i5-3230M,,,TRUE,22,35,3,1200,4,2 x 2.6,3.2,FALSE,0.5,3,128,26,2561,1578,,,1020,506,HD Graphics 4000,1100,4,1.1,1600,25.6,3,2,32,FALSE,11
67d4fd4693079e4598e73a5b,laptop,AMD A10-9620P,,,TRUE,28,15,3,,4,4 x 2.5,3.4,FALSE,2,,320,25,2535,1266,,,1115,503,Radeon R5,720,4.6,2.1,1866,,4,2,,FALSE,
67d4fd4693079e4598e73941,laptop,Intel Core i3-7102E,,,TRUE,14,25,3,,4,2 x 2.1,,,0.5,3,128,21,2521,1292,,,,,HD Graphics 630,1100,4.4,2,2133,34.1,4,2,64,TRUE,12
67d4fd4693079e4598e73bc7,desktop,AMD Phenom II X4 955,,,FALSE,45,125,2,758,4,4 x 3.2,,TRUE,2,6,512,16,2517,1295,,,,,,,,,1333,21.3,3,2,,TRUE,
67d4fd4693079e4598e73b9a,desktop,AMD Athlon II X4 651,,,FALSE,32,100,2,1178,4,4 x 3,,TRUE,4,,512,,2500,1287,,,,,,,,,1866,,3,2,,,
67d4fd4693079e4598e7390c,desktop,Intel Celeron G4920,,,TRUE,14,54,3,,2,2 x 3.2,,,0.5,2,128,32,2500,1960,,,,,UHD Graphics 610,1050,4.5,3,2400,37.5,4,2,64,TRUE,12
67d4fd4693079e4598e73a6a,laptop,Intel Core i5-5200U,,,TRUE,14,15,2,,4,2 x 2.2,2.7,,0.5,3,128,,2497,1496,,,1508,787,HD Graphics 5500,900,4.3,3,1600,25.6,3,2,16,,12
67d4fd4693079e4598e73ae7,laptop,Intel Core i5-4300U,,,TRUE,22,15,3,1400,4,2 x 1.9,2.9,,0.5,3,64,19,2495,1483,499,184,1463,790,HD Graphics 4400,1100,4.3,1.2,1600,25.6,3,2,16,,11.1
67d4fd4693079e4598e73b93,desktop,Intel Core i5-2390T,,,TRUE,32,35,2,995,4,2 x 2.7,3.5,,0.5,3,128,27,2493,1516,,,971,500,HD Graphics 2000,1100,3,1.1,1333,21,3,2,32,FALSE,10.1
67d4fd4693079e4598e73b07,laptop,Intel Core i7-4500U,,,TRUE,22,15,3,1400,4,2 x 1.8,3,,0.5,4,128,,2487,1492,534,261,1541,806,HD Graphics 4400,1100,4,1.2,1600,25.6,3,2,16,,11.1
67d4fd4693079e4598e73a4e,desktop,Intel Celeron N4120,,,TRUE,14,6,2,,4,4 x 1.1,2.6,,4,,224,,2485,1086,407,165,772,320,UHD Graphics 600,700,4.4,,2400,38.4,4,2,8,FALSE,12
67d4fd4693079e4598e739f0,laptop,Intel Core i7-8500Y,,,TRUE,14,5,3,,4,2 x 1.5,4.2,,0.5,4,128,15,2474,1448,602,306,,,UHD Graphics 615,1050,4.5,,1866,29.8,3,2,16,FALSE,12
67d4fd4693079e4598e737a8,desktop,Intel Celeron 7305,,,TRUE,10,15,4,,5, x ,,FALSE,,,,11,2470,814,,,,,UHD Graphics 48EU,1100,4.6,3,5200,,5,2,64,FALSE,12.1
67d4fd4693079e4598e73b5f,laptop,Intel Core i7-2640M,,,TRUE,32,35,2,995,4,2 x 2.8,3.5,,0.5,4,128,28,2467,1498,,,1022,517,HD Graphics 3000,1300,3,1.1,1333,21.3,3,2,16,,10.1
67d4fd4693079e4598e73ad6,laptop,Intel Core i7-4650U,,,TRUE,22,15,3,1400,4,2 x 1.7,3.3,,0.5,4,128,,2464,1574,,,1475,848,HD Graphics 5000,1100,4,1.2,1600,25.6,3,2,16,FALSE,11.1
67d4fd4693079e4598e73a99,laptop,Intel Core i5-3210M,,,TRUE,22,35,3,1200,4,2 x 2.5,3.1,,0.5,3,128,25,2462,1524,,,999,494,HD Graphics 4000,1100,4,1.1,1600,25.6,3,2,32,,11
67d4fd4693079e4598e739da,desktop,Intel Celeron N4100,,,TRUE,14,6,2,,4,4 x 1.1,2.4,,4,,224,,2457,1008,,,825,309,UHD Graphics 600,700,4.4,,2400,,4,2,8,FALSE,12
67d4fd4693079e4598e73a08,desktop,AMD 3020e,,,TRUE,14,6,3,,2,2 x 1.2,2.6,,1,4,192,,2438,1408,,,1083,662,Radeon Vega 3,1000,4.6,2.1,2400,,4,2,,,12
67d4fd4693079e4598e73afb,laptop,Intel Core i5-4350U,,,TRUE,22,15,3,1400,4,2 x 1.4,2.9,,0.5,3,128,,2425,1585,,,,,HD Graphics 5000,1100,4,1.2,1600,25.6,3,2,16,FALSE,11.1
67d4fd4693079e4598e73b3a,laptop,Intel Core i7-2620M,,,TRUE,32,35,2,995,4,2 x 2.7,3.4,TRUE,0.5,4,128,27,2423,1459,,,1018,511,HD Graphics 3000,1300,3,1.1,1333,21.3,3,2,16,FALSE,10.1
67d4fd4693079e4598e73b42,laptop,Intel Core i7-3667U,,,TRUE,22,17,3,1200,4,2 x 2,3.2,,0.5,4,128,20,2416,1501,420,202,985,486,HD Graphics 4000,1150,4,1.1,1600,25.6,3,2,32,FALSE,11
67d4fd4693079e4598e739af,desktop,Intel Atom C3558,,,FALSE,14,16,3,,4,4 x 2.2,2.2,,8,,224,22,2405,849,,,,,,,,,1866,,4,2,256,TRUE,
